row_index,fecha,departamento,actual_multifatal,raw_probability,raw_threshold,raw_prediction,calibration_method,calibrated_probability,calibrated_threshold,calibrated_prediction
7035,2024-02-05,SAN MARTIN,0,0.7624328,0.8,0,platt,0.3041140136731212,0.3,1
7036,2024-02-05,LIMA,0,0.003070136,0.8,0,platt,0.007920547273891677,0.3,0
7037,2024-02-05,PIURA,0,0.01538016,0.8,0,platt,0.019936543572887492,0.3,0
7038,2024-02-07,CALLAO,0,0.00018417924,0.8,0,platt,0.001573950089721197,0.3,0
7039,2024-02-07,LIMA,0,0.0028603047,0.8,0,platt,0.007605564310685858,0.3,0
7040,2024-02-07,SAN MARTIN,0,0.00015138742,0.8,0,platt,0.0014060792319162316,0.3,0
7041,2024-02-07,LIMA,0,0.0040221186,0.8,0,platt,0.009246455195987267,0.3,0
7042,2024-02-08,LA LIBERTAD,1,0.9801219,0.8,1,platt,0.6782662531456102,0.3,1
7043,2024-02-08,CAJAMARCA,0,0.23774418,0.8,0,platt,0.10243103814908157,0.3,0
7044,2024-02-08,LIMA,0,5.5615527e-07,0.8,0,platt,7.81343183520656e-05,0.3,0
7045,2024-02-08,PIURA,0,0.29216242,0.8,0,platt,0.11824887328991086,0.3,0
7046,2024-02-08,AREQUIPA,0,0.0010753609,0.8,0,platt,0.004339080310565988,0.3,0
7047,2024-02-09,CUSCO,0,0.013847015,0.8,0,platt,0.018771917648224196,0.3,0
7048,2024-02-09,CUSCO,0,1.1979743e-06,0.8,0,platt,8.670078641476459e-05,0.3,0
7049,2024-02-09,PUNO,0,0.41149297,0.8,0,platt,0.1537469873149602,0.3,0
7050,2024-02-09,LIMA,0,0.010802862,0.8,0,platt,0.016283068302436116,0.3,0
7051,2024-02-10,AYACUCHO,1,0.6681826,0.8,0,platt,0.25044427866471536,0.3,0
7052,2024-02-10,AREQUIPA,1,0.93527746,0.8,1,platt,0.5097212619911518,0.3,1
7053,2024-02-10,AREQUIPA,0,0.00028434923,0.8,0,platt,0.0020205043529717935,0.3,0
7054,2024-02-10,JUNIN,0,0.0031868974,0.8,0,platt,0.008091826193012165,0.3,0
7055,2024-02-10,LIMA,0,0.022806523,0.8,0,platt,0.024994658776416056,0.3,0
7056,2024-02-11,LIMA,0,0.0015576725,0.8,0,platt,0.00536733845434436,0.3,0
7057,2024-02-11,PUNO,1,0.0020225982,0.8,0,platt,0.006234948970600283,0.3,0
7058,2024-02-11,AMAZONAS,0,2.4727207e-08,0.8,0,platt,7.81343183520656e-05,0.3,0
7059,2024-02-11,CAJAMARCA,0,0.46207172,0.8,0,platt,0.16980973687831025,0.3,0
7060,2024-02-11,LIMA,0,0.0071144244,0.8,0,platt,0.01281882194232779,0.3,0
7061,2024-02-11,LIMA,0,0.44379327,0.8,0,platt,0.16390291195724083,0.3,0
7062,2024-02-11,ICA,0,0.08751404,0.8,0,platt,0.05469392767068726,0.3,0
7063,2024-02-12,PIURA,0,0.0018067295,0.8,0,platt,0.0058440864649397075,0.3,0
7064,2024-02-12,CUSCO,1,0.82070535,0.8,1,platt,0.34903880143500227,0.3,1
7065,2024-02-12,ICA,0,0.80311596,0.8,1,platt,0.33411108527191713,0.3,1
7066,2024-02-12,PIURA,0,0.00045053125,0.8,0,platt,0.002632446464939001,0.3,0
7067,2024-02-12,LIMA,0,1.3750633e-06,0.8,0,platt,9.3865809191963e-05,0.3,0
7068,2024-02-13,AREQUIPA,0,9.0839196e-05,0.8,0,platt,0.0010480608184787405,0.3,0
7069,2024-02-13,ICA,0,0.017071832,0.8,0,platt,0.021165974876732243,0.3,0
7070,2024-02-13,LIMA,0,0.0007891399,0.8,0,platt,0.003632628658146994,0.3,0
7071,2024-02-13,LIMA,0,0.006380544,0.8,0,platt,0.012043981905176748,0.3,0
7072,2024-02-14,CUSCO,0,0.8437557,0.8,1,platt,0.3709715856788068,0.3,1
7073,2024-02-14,PUNO,0,0.90780234,0.8,1,platt,0.4546044871182759,0.3,1
7074,2024-02-14,CUSCO,0,5.1284187e-06,0.8,0,platt,0.00020032372228196053,0.3,0
7075,2024-02-14,PUNO,0,0.0014296207,0.8,0,platt,0.005109528145231384,0.3,0
7076,2024-02-15,PUNO,0,0.01739824,0.8,0,platt,0.021397172422178496,0.3,0
7077,2024-02-15,CUSCO,0,1.13128294e-07,0.8,0,platt,7.81343183520656e-05,0.3,0
7078,2024-02-16,PUNO,0,0.0017098819,0.8,0,platt,0.0056622637681476825,0.3,0
7079,2024-02-16,LIMA,0,1.7987851e-06,0.8,0,platt,0.00010957049057672009,0.3,0
7080,2024-02-16,APURIMAC,1,0.7560297,0.8,0,platt,0.2998610050826157,0.3,0
7081,2024-02-16,LIMA,0,0.026214825,0.8,0,platt,0.027078971082614988,0.3,0
7082,2024-02-17,CAJAMARCA,0,0.007958169,0.8,0,platt,0.013668540185778353,0.3,0
7083,2024-02-17,ICA,0,0.033491362,0.8,0,platt,0.031185207025584177,0.3,0
7084,2024-02-17,ICA,0,0.23180656,0.8,0,platt,0.10069397707970999,0.3,0
7085,2024-02-17,CAJAMARCA,0,0.028833479,0.8,0,platt,0.02860495262879422,0.3,0
7086,2024-02-17,LA LIBERTAD,0,0.656607,0.8,0,platt,0.24488871109921065,0.3,0
7087,2024-02-17,CAJAMARCA,0,0.00291853,0.8,0,platt,0.0076939322340373595,0.3,0
7088,2024-02-17,CUSCO,0,0.00471862,0.8,0,platt,0.01013240155804689,0.3,0
7089,2024-02-18,PUNO,0,0.00039764697,0.8,0,platt,0.0024501428176271958,0.3,0
7090,2024-02-18,TACNA,0,0.0017789192,0.8,0,platt,0.005792311433361763,0.3,0
7091,2024-02-18,LA LIBERTAD,0,0.008248814,0.8,0,platt,0.013952225006134161,0.3,0
7092,2024-02-18,CUSCO,0,0.0029943653,0.8,0,platt,0.007807902300465264,0.3,0
7093,2024-02-18,ICA,0,0.0006804238,0.8,0,platt,0.003336138029621669,0.3,0
7094,2024-02-18,LA LIBERTAD,0,0.006746239,0.8,0,platt,0.01243459591055704,0.3,0
7095,2024-02-18,AREQUIPA,0,0.02254622,0.8,0,platt,0.02483031820174012,0.3,0
7096,2024-02-19,CUSCO,1,0.29833996,0.8,0,platt,0.12004357729234022,0.3,0
7097,2024-02-19,PIURA,0,0.020003127,0.8,0,platt,0.023180818948000108,0.3,0
7098,2024-02-19,LIMA,0,0.0033385358,0.8,0,platt,0.008310305171372087,0.3,0
7099,2024-02-19,AYACUCHO,0,0.82654107,0.8,1,platt,0.35431474379861416,0.3,1
7100,2024-02-19,PUNO,0,0.015758062,0.8,0,platt,0.020215947797232035,0.3,0
7101,2024-02-19,JUNIN,0,0.6395421,0.8,0,platt,0.23700611615903297,0.3,0
7102,2024-02-20,ICA,0,0.84615153,0.8,1,platt,0.373432954311631,0.3,1
7103,2024-02-20,PUNO,0,0.0037623637,0.8,0,platt,0.008899423041250005,0.3,0
7104,2024-02-20,LIMA,0,0.0032821698,0.8,0,platt,0.008229600178311234,0.3,0
7105,2024-02-20,LIMA,0,0.0074775866,0.8,0,platt,0.013189561182323634,0.3,0
7106,2024-02-21,APURIMAC,0,0.0005920843,0.8,0,platt,0.0030799673691975795,0.3,0
7107,2024-02-22,CAJAMARCA,0,0.27116424,0.8,0,platt,0.11215484363790366,0.3,0
7108,2024-02-22,LA LIBERTAD,0,0.8944415,0.8,1,platt,0.4332575161589523,0.3,1
7109,2024-02-22,LA LIBERTAD,0,0.853356,0.8,1,platt,0.38106995999171367,0.3,1
7110,2024-02-22,PIURA,0,0.008027437,0.8,0,platt,0.0137365456827781,0.3,0
7111,2024-02-22,ICA,1,0.0005490968,0.8,0,platt,0.002949425473280332,0.3,0
7112,2024-02-23,CUSCO,0,1.4338366e-07,0.8,0,platt,7.81343183520656e-05,0.3,0
7113,2024-02-23,MOQUEGUA,1,0.9230607,0.8,1,platt,0.4829376628441564,0.3,1
7114,2024-02-23,AMAZONAS,0,0.9181625,0.8,1,platt,0.4733029810179704,0.3,1
7115,2024-02-23,LIMA,1,0.7123841,0.8,0,platt,0.27348624629107154,0.3,0
7116,2024-02-23,LIMA,0,0.023418112,0.8,0,platt,0.02537773575619918,0.3,0
7117,2024-02-24,LIMA,0,0.026344106,0.8,0,platt,0.02715574346920138,0.3,0
7118,2024-02-24,CALLAO,0,0.2538168,0.8,0,platt,0.10711589241935106,0.3,0
7119,2024-02-24,LIMA,0,0.16388729,0.8,0,platt,0.08031716007416219,0.3,0
7120,2024-02-24,CUSCO,0,0.002345856,0.8,0,platt,0.006788299297683433,0.3,0
7121,2024-02-24,LA LIBERTAD,0,0.056625314,0.8,0,platt,0.04230257062946134,0.3,0
7122,2024-02-24,AREQUIPA,0,0.026280751,0.8,0,platt,0.02711814056677755,0.3,0
7123,2024-02-24,LA LIBERTAD,0,0.006017826,0.8,0,platt,0.011646964488015207,0.3,0
7124,2024-02-25,AREQUIPA,0,6.0739205e-07,0.8,0,platt,7.81343183520656e-05,0.3,0
7125,2024-02-25,TUMBES,0,0.81734,0.8,1,platt,0.3460732931126378,0.3,1
7126,2024-02-25,LIMA,0,0.0031571826,0.8,0,platt,0.008048495761173962,0.3,0
7127,2024-02-25,TUMBES,0,0.00010813946,0.8,0,platt,0.0011586476257190496,0.3,0
7128,2024-02-25,CUSCO,0,0.8220984,0.8,1,platt,0.3502825345210204,0.3,1
7129,2024-02-25,PUNO,0,0.020564785,0.8,0,platt,0.023552335646712046,0.3,0
7130,2024-02-25,JUNIN,0,0.0011601172,0.8,0,platt,0.004532231852606341,0.3,0
7131,2024-02-26,AMAZONAS,0,0.00019316487,0.8,0,platt,0.0016176700455975412,0.3,0
7132,2024-02-26,CALLAO,0,0.000966467,0.8,0,platt,0.004081087820065285,0.3,0
7133,2024-02-26,LA LIBERTAD,0,0.744052,0.8,0,platt,0.29219149315886406,0.3,0
7134,2024-02-26,CAJAMARCA,1,0.8583303,0.8,1,platt,0.3865626125842542,0.3,1
7135,2024-02-26,MOQUEGUA,0,0.019074762,0.8,0,platt,0.02255700735605507,0.3,0
7136,2024-02-26,CUSCO,1,0.19307788,0.8,0,platt,0.08922260770897107,0.3,0
7137,2024-02-26,LIMA,0,0.02342451,0.8,0,platt,0.025381721184010757,0.3,0
7138,2024-02-27,PIURA,0,0.00095651625,0.8,0,platt,0.004056907472856071,0.3,0
7139,2024-02-27,LA LIBERTAD,0,0.67663366,0.8,0,platt,0.25461561799622157,0.3,0
7140,2024-02-27,LA LIBERTAD,0,0.009113302,0.8,0,platt,0.014771743780431003,0.3,0
7141,2024-02-28,PIURA,0,0.00018547401,0.8,0,platt,0.0015803049411591357,0.3,0
7142,2024-02-28,AREQUIPA,0,0.07071013,0.8,0,platt,0.048196437618586885,0.3,0
7143,2024-02-28,LIMA,0,0.00048197,0.8,0,platt,0.002736501839570916,0.3,0
7144,2024-02-28,PASCO,0,0.00037429552,0.8,0,platt,0.0023663734026894228,0.3,0
7145,2024-02-28,APURIMAC,1,0.7459547,0.8,0,platt,0.2933860209356124,0.3,0
7146,2024-02-28,TACNA,0,0.0062221866,0.8,0,platt,0.011871870431496866,0.3,0
7147,2024-02-28,LA LIBERTAD,0,0.42332596,0.8,0,platt,0.15742928899950634,0.3,0
7148,2024-02-29,AREQUIPA,0,0.5700331,0.8,0,platt,0.20800348381579556,0.3,0
7149,2024-02-29,CAJAMARCA,0,0.5953155,0.8,0,platt,0.21804416614552177,0.3,0
